batch,threshold,precision,recall,f1_score,total_samples,anomalies
batch_01_features.csv,0.0001,0.4904364884747425,1.0,0.6581112207963146,20000,1000
batch_02_features.csv,0.0001,0.6184291898577613,1.0,0.7642338555598013,20000,1000
batch_03_features.csv,0.0001,0.6097560975609756,1.0,0.7575757575757576,20000,1000
batch_04_features.csv,0.0001,0.6222775357809583,1.0,0.7671653241273494,20000,1000
batch_05_features.csv,0.0001,0.6329113924050633,1.0,0.7751937984496124,20000,1000
batch_06_features.csv,0.0001,0.6476683937823834,1.0,0.7861635220125787,20000,1000
batch_07_features.csv,0.0001,0.5977286312014346,1.0,0.7482229704451927,20000,1000
batch_08_features.csv,0.0001,0.649772579597141,1.0,0.7877116975187082,20000,1000
batch_09_features.csv,0.0001,0.5830903790087464,1.0,0.7366482504604052,20000,1000
batch_10_features.csv,0.00015000000000000001,0.6939625260235948,1.0,0.8193363375665711,20000,1000
batch_11_features.csv,0.00022500000000000002,0.7627765064836003,1.0,0.8654262224145391,20000,1000
batch_12_features.csv,0.00011250000000000001,0.6688963210702341,1.0,0.8016032064128257,20000,1000
batch_13_features.csv,0.0001,0.6464124111182935,1.0,0.7852375343541421,20000,1000
batch_14_features.csv,0.0001,0.6720430107526881,1.0,0.8038585209003215,20000,1000
batch_15_features.csv,0.0001,0.9910802775024777,1.0,0.9955201592832255,20000,1000
batch_16_features.csv,0.00015000000000000001,0.9765625,1.0,0.9881422924901185,20000,1000
batch_17_features.csv,0.00022500000000000002,0.984251968503937,1.0,0.9920634920634921,20000,1000
batch_18_features.csv,0.00011250000000000001,0.9699321047526673,1.0,0.9847365829640571,20000,1000
batch_19_features.csv,0.00016875,0.9881422924901185,1.0,0.9940357852882704,20000,1000
batch_20_features.csv,0.000253125,0.9960159362549801,1.0,0.998003992015968,20000,1000
batch_21_features.csv,0.0003796875,0.9900990099009901,1.0,0.9950248756218906,20000,1000
batch_22_features.csv,0.0005695312499999999,0.9699321047526673,1.0,0.9847365829640571,20000,1000
batch_23_features.csv,0.0008542968749999999,0.970873786407767,1.0,0.9852216748768473,20000,1000
batch_24_features.csv,0.0012814453124999998,0.9809417040358744,1.0,0.9903791737408036,17501,875
