batch,reward,TP,FP,action,threshold
batch_01_features.csv,-0.019854880898600658,1000,1039,DECREASE,0.0001
batch_02_features.csv,0.0,1000,617,DECREASE,0.0001
batch_03_features.csv,0.0,1000,640,DECREASE,0.0001
batch_04_features.csv,0.0,1000,607,DECREASE,0.0001
batch_05_features.csv,0.0,1000,580,DECREASE,0.0001
batch_06_features.csv,0.0,1000,544,DECREASE,0.0001
batch_07_features.csv,0.0,1000,673,DECREASE,0.0001
batch_08_features.csv,0.0,1000,539,DECREASE,0.0001
batch_09_features.csv,0.0,1000,715,DECREASE,0.0001
batch_10_features.csv,0.08241666181122842,1000,441,INCREASE,0.00015000000000000001
batch_11_features.csv,0.0667041776861046,1000,311,INCREASE,0.00022500000000000002
batch_12_features.csv,-0.1062497214128666,1000,495,DECREASE,0.00011250000000000001
batch_13_features.csv,-0.022516908295292404,1000,547,DECREASE,0.0001
batch_14_features.csv,0.0,1000,488,KEEP,0.0001
batch_15_features.csv,0.0,1000,9,DECREASE,0.0001
batch_16_features.csv,0.002435047541868185,1000,24,INCREASE,0.00015000000000000001
batch_17_features.csv,0.009745220943649269,1000,16,INCREASE,0.00022500000000000002
batch_18_features.csv,-0.010288292657833487,1000,31,DECREASE,0.00011250000000000001
batch_19_features.csv,0.000493808139735874,1000,12,INCREASE,0.00016875
batch_20_features.csv,0.0004977576020028796,1000,4,INCREASE,0.000253125
batch_21_features.csv,0.0009890903336201573,1000,10,INCREASE,0.0003796875
batch_22_features.csv,0.019019538058214547,1000,31,INCREASE,0.0005695312499999999
batch_23_features.csv,0.014818957749239359,1000,30,INCREASE,0.0008542968749999999
batch_24_features.csv,0.0077851254533246594,875,17,INCREASE,0.0012814453124999998
