batch,threshold,precision,recall,f1_score,total_samples,anomalies
batch_01_features.csv,0.0444375,1.0,1.0,1.0,20000,1000
batch_02_features.csv,0.06665625,1.0,1.0,1.0,20000,1000
batch_03_features.csv,0.033328125,0.999000999000999,1.0,0.9995002498750625,20000,1000
batch_04_features.csv,0.0166640625,0.999000999000999,1.0,0.9995002498750625,20000,1000
batch_05_features.csv,0.00833203125,0.9970089730807578,1.0,0.9985022466300549,20000,1000
batch_06_features.csv,0.012498046875,0.9940357852882704,1.0,0.9970089730807578,20000,1000
batch_07_features.csv,0.0187470703125,1.0,1.0,1.0,20000,1000
batch_08_features.csv,0.00937353515625,1.0,1.0,1.0,20000,1000
batch_09_features.csv,0.014060302734374999,1.0,1.0,1.0,20000,1000
batch_10_features.csv,0.007030151367187499,1.0,1.0,1.0,20000,1000
batch_11_features.csv,0.0035150756835937496,0.999000999000999,1.0,0.9995002498750625,20000,1000
batch_12_features.csv,0.0035150756835937496,0.9940357852882704,1.0,0.9970089730807578,20000,1000
batch_13_features.csv,0.005272613525390624,0.999000999000999,1.0,0.9995002498750625,20000,1000
batch_14_features.csv,0.002636306762695312,0.9970089730807578,1.0,0.9985022466300549,20000,1000
batch_15_features.csv,0.001318153381347656,0.9950248756218906,1.0,0.9975062344139651,20000,1000
batch_16_features.csv,0.0019772300720214842,0.999000999000999,1.0,0.9995002498750625,20000,1000
batch_17_features.csv,0.0029658451080322263,0.999000999000999,1.0,0.9995002498750625,20000,1000
batch_18_features.csv,0.0014829225540161132,1.0,1.0,1.0,20000,1000
batch_19_features.csv,0.0007414612770080566,0.9960159362549801,1.0,0.998003992015968,20000,1000
batch_20_features.csv,0.0011121919155120848,0.9970089730807578,1.0,0.9985022466300549,20000,1000
batch_21_features.csv,0.0016682878732681271,0.999000999000999,1.0,0.9995002498750625,20000,1000
batch_22_features.csv,0.0025024318099021907,0.9970089730807578,1.0,0.9985022466300549,20000,1000
batch_23_features.csv,0.003753647714853286,0.9950248756218906,1.0,0.9975062344139651,20000,1000
batch_24_features.csv,0.003753647714853286,0.9887005649717514,1.0,0.9943181818181818,17501,875
gaussian_batch_01_features.csv,0.003753647714853286,0.9952836094995617,0.9987853403141361,0.9970314002592299,477501,23875
gaussian_batch_02_features.csv,0.003753647714853286,0.9954549245267283,0.9999162303664921,0.9976805900913137,477501,23875
gaussian_batch_03_features.csv,0.005630471572279929,0.9973678713181533,0.9998743455497382,0.9986195356619954,477501,23875
gaussian_batch_04_features.csv,0.0028152357861399645,0.9932190698061403,1.0,0.9965980005426502,477501,23875
gaussian_batch_05_features.csv,0.0042228536792099465,0.9964108342723592,1.0,0.9982021908186304,477501,23875
gaussian_batch_06_features.csv,0.0042228536792099465,0.9963275185710708,0.9999581151832461,0.998139515437841,477501,23875
gaussian_batch_07_features.csv,0.006334280518814919,0.9976598412035103,0.9999581151832461,0.9988076561029181,477501,23875
gaussian_batch_08_features.csv,0.006334280518814919,0.9975347846070279,0.9999581151832461,0.9987449799196787,477501,23875
gaussian_batch_09_features.csv,0.009501420778222379,0.9982021908186304,1.0,0.9991002866528571,477501,23875
gaussian_batch_10_features.csv,0.009501420778222379,0.9982437800543592,0.9999162303664921,0.9990793052939946,477501,23875
gaussian_batch_11_features.csv,0.009501420778222379,0.9983272696859449,0.9999162303664921,0.9991211182723696,477501,23875
gaussian_batch_12_features.csv,0.009501420778222379,0.9982437800543592,0.9999162303664921,0.9990793052939946,477501,23875
gaussian_batch_13_features.csv,0.014252131167333568,0.9989539748953975,1.0,0.9994767137624281,477501,23875
gaussian_batch_14_features.csv,0.014252131167333568,0.9989539748953975,1.0,0.9994767137624281,477501,23875
gaussian_batch_15_features.csv,0.021378196751000354,0.9995393827729157,0.9997905759162303,0.9996649635647876,477501,23875
gaussian_batch_16_features.csv,0.021378196751000354,0.999497550558975,0.9998324607329843,0.9996649775953766,477501,23875
gaussian_batch_17_features.csv,0.03206729512650053,0.9998324887976884,1.0,0.9999162373832559,477501,23875
gaussian_batch_18_features.csv,0.04810094268975079,1.0,0.9991204188481675,0.9995600159232333,477501,23875
gaussian_batch_19_features.csv,0.024050471344875396,0.999539421345727,0.9998743455497382,0.9997068553959546,477501,23875
gaussian_batch_20_features.csv,0.024050471344875396,0.9995394406297102,0.9999162303664921,0.9997277999958123,477501,23875
