batch,original_threshold,action,new_threshold,mean_mse
gaussian_batch_01_features.csv,0.038523,KEEP,0.038523,0.0011586618206709113
gaussian_batch_02_features.csv,0.038523,DECREASE,0.0192615,0.0019633872208033687
gaussian_batch_03_features.csv,0.0192615,KEEP,0.0192615,0.0031550435386757713
gaussian_batch_04_features.csv,0.0192615,KEEP,0.0192615,0.004689727021414077
gaussian_batch_05_features.csv,0.0192615,KEEP,0.0192615,0.002012983746115623
gaussian_batch_06_features.csv,0.0192615,KEEP,0.0192615,0.0027894228932213018
gaussian_batch_07_features.csv,0.0192615,KEEP,0.0192615,0.003922174006222634
gaussian_batch_08_features.csv,0.0192615,KEEP,0.0192615,0.005436834622838771
gaussian_batch_09_features.csv,0.0192615,KEEP,0.0192615,0.0032547141687122023
gaussian_batch_10_features.csv,0.0192615,KEEP,0.0192615,0.0040101973607945575
gaussian_batch_11_features.csv,0.0192615,KEEP,0.0192615,0.005140588357240188
gaussian_batch_12_features.csv,0.0192615,KEEP,0.0192615,0.006578541693986277
gaussian_batch_13_features.csv,0.0192615,KEEP,0.0192615,0.004891759797252529
gaussian_batch_14_features.csv,0.0192615,KEEP,0.0192615,0.005631109208758059
gaussian_batch_15_features.csv,0.0192615,KEEP,0.0192615,0.0066914607842309595
gaussian_batch_16_features.csv,0.0192615,DECREASE,0.00963075,0.008105280952847743
gaussian_batch_17_features.csv,0.00963075,KEEP,0.00963075,0.006890115696682846
gaussian_batch_18_features.csv,0.00963075,KEEP,0.00963075,0.007632829850392476
gaussian_batch_19_features.csv,0.00963075,KEEP,0.00963075,0.008689568238234361
gaussian_batch_20_features.csv,0.00963075,KEEP,0.00963075,0.010116894355069002
