batch,original_threshold,action,new_threshold,mean_mse
gaussian_batch_01_features.csv,0.02405,KEEP,0.02405,0.0011591971364404562
gaussian_batch_02_features.csv,0.02405,DECREASE,0.012025,0.0019731328353727352
gaussian_batch_03_features.csv,0.012025,KEEP,0.012025,0.0031433270613756403
gaussian_batch_04_features.csv,0.012025,KEEP,0.012025,0.00467826030708789
gaussian_batch_05_features.csv,0.012025,KEEP,0.012025,0.002016876435588094
gaussian_batch_06_features.csv,0.012025,KEEP,0.012025,0.002800432598311826
gaussian_batch_07_features.csv,0.012025,KEEP,0.012025,0.003913416490371509
gaussian_batch_08_features.csv,0.012025,DECREASE,0.0060125,0.0054415795817388465
gaussian_batch_09_features.csv,0.0060125,INCREASE,0.009018749999999999,0.003261542764549693
gaussian_batch_10_features.csv,0.009018749999999999,INCREASE,0.013528124999999998,0.004017214686928235
gaussian_batch_11_features.csv,0.013528124999999998,KEEP,0.013528124999999998,0.005135767249146996
gaussian_batch_12_features.csv,0.013528124999999998,KEEP,0.013528124999999998,0.006541370015439248
gaussian_batch_13_features.csv,0.013528124999999998,INCREASE,0.020292187499999996,0.004874154445475086
gaussian_batch_14_features.csv,0.020292187499999996,KEEP,0.020292187499999996,0.005652510128098704
gaussian_batch_15_features.csv,0.020292187499999996,DECREASE,0.010146093749999998,0.006697862521621555
gaussian_batch_16_features.csv,0.010146093749999998,INCREASE,0.015219140624999997,0.008151532769587478
gaussian_batch_17_features.csv,0.015219140624999997,INCREASE,0.022828710937499996,0.006883267069340923
gaussian_batch_18_features.csv,0.022828710937499996,INCREASE,0.034243066406249995,0.007624920542442484
gaussian_batch_19_features.csv,0.034243066406249995,KEEP,0.034243066406249995,0.008699483768943835
gaussian_batch_20_features.csv,0.034243066406249995,KEEP,0.034243066406249995,0.010086718391362558
