batch,reward,TP,FP,action,threshold
gaussian_batch_01_features.csv,0.5999035680450959,16535,16,DECREASE,0.0171215
gaussian_batch_02_features.csv,0.0,22027,17,KEEP,0.0171215
gaussian_batch_03_features.csv,0.0,23471,16,KEEP,0.0171215
gaussian_batch_04_features.csv,0.0,23780,17,KEEP,0.0171215
gaussian_batch_05_features.csv,0.0,23314,15,KEEP,0.0171215
gaussian_batch_06_features.csv,0.0,23541,15,KEEP,0.0171215
gaussian_batch_07_features.csv,0.0,23750,15,KEEP,0.0171215
gaussian_batch_08_features.csv,0.0,23835,17,KEEP,0.0171215
gaussian_batch_09_features.csv,0.0,23868,16,KEEP,0.0171215
gaussian_batch_10_features.csv,0.0,23845,15,KEEP,0.0171215
gaussian_batch_11_features.csv,0.0,23849,16,KEEP,0.0171215
gaussian_batch_12_features.csv,0.0,23866,17,KEEP,0.0171215
gaussian_batch_13_features.csv,0.0,23875,16,KEEP,0.0171215
gaussian_batch_14_features.csv,0.0,23875,17,KEEP,0.0171215
gaussian_batch_15_features.csv,0.0,23871,15,KEEP,0.0171215
gaussian_batch_16_features.csv,-0.00033533117986361827,23853,10,INCREASE,0.025682250000000004
gaussian_batch_17_features.csv,0.0,23875,8,KEEP,0.025682250000000004
gaussian_batch_18_features.csv,0.0,23875,9,KEEP,0.025682250000000004
gaussian_batch_19_features.csv,-2.1029685688511712e-05,23865,1,INCREASE,0.038523375000000006
gaussian_batch_20_features.csv,0.0,23856,1,KEEP,0.038523375000000006
