timestamp,batch_file,original_threshold,action,new_threshold,mean_score
2025-06-30T01:57:56.167447,gaussian_batch_01_features.csv,0.002582674299179656,DECREASE,0.001291337149589828,0.0009262613496709619
2025-06-30T01:57:58.607388,gaussian_batch_02_features.csv,0.001291337149589828,KEEP,0.001291337149589828,0.0009272654558238219
2025-06-30T01:58:01.052723,gaussian_batch_03_features.csv,0.001291337149589828,INCREASE,0.001937005724384742,0.0009295952632212936
2025-06-30T01:58:03.513160,gaussian_batch_04_features.csv,0.001937005724384742,INCREASE,0.002905508586577113,0.0009350867858891048
2025-06-30T01:58:05.983307,gaussian_batch_05_features.csv,0.002905508586577113,INCREASE,0.00435826287986567,0.0009261569189262923
2025-06-30T01:58:08.446685,gaussian_batch_06_features.csv,0.00435826287986567,KEEP,0.00435826287986567,0.0009313692166595351
2025-06-30T01:58:10.929020,gaussian_batch_07_features.csv,0.00435826287986567,DECREASE,0.002179131439932835,0.00093819723293275
2025-06-30T01:58:13.409891,gaussian_batch_08_features.csv,0.002179131439932835,INCREASE,0.0032686971598992524,0.0009509154684060484
2025-06-30T01:58:15.946418,gaussian_batch_09_features.csv,0.0032686971598992524,KEEP,0.0032686971598992524,0.0009267937594185245
2025-06-30T01:58:18.431271,gaussian_batch_10_features.csv,0.0032686971598992524,DECREASE,0.0016343485799496262,0.0009343345187047258
2025-06-30T01:58:20.921658,gaussian_batch_11_features.csv,0.0016343485799496262,KEEP,0.0016343485799496262,0.0009348944472308514
2025-06-30T01:58:23.443585,gaussian_batch_12_features.csv,0.0016343485799496262,INCREASE,0.002451522869924439,0.000957191241042949
2025-06-30T01:58:25.930865,gaussian_batch_13_features.csv,0.002451522869924439,INCREASE,0.0036772843048866587,0.0009279058124815508
2025-06-30T01:58:28.434961,gaussian_batch_14_features.csv,0.0036772843048866587,INCREASE,0.005515926457329988,0.0009307763609748888
2025-06-30T01:58:30.942930,gaussian_batch_15_features.csv,0.005515926457329988,KEEP,0.005515926457329988,0.000939822369488627
2025-06-30T01:58:33.490997,gaussian_batch_16_features.csv,0.005515926457329988,DECREASE,0.002757963228664994,0.0009695979105601053
2025-06-30T01:58:35.987979,gaussian_batch_17_features.csv,0.002757963228664994,KEEP,0.002757963228664994,0.0009306364674545275
2025-06-30T01:58:38.503617,gaussian_batch_18_features.csv,0.002757963228664994,INCREASE,0.004136944842997491,0.0009372566618996449
2025-06-30T01:58:41.014768,gaussian_batch_19_features.csv,0.004136944842997491,DECREASE,0.0020684724214987456,0.0009407025866727357
2025-06-30T01:58:43.536271,gaussian_batch_20_features.csv,0.0020684724214987456,INCREASE,0.0031027086322481185,0.000948450852354244
