file,Accuracy,F1,FPR,TP,FP,TN,FN,precision,recall
02-14-2018.csv,0.8940962735140547,0.8371992787087127,0.02341131112329358,285531,15630,651996,95418,0.948100849711616,0.7495255270390525
02-15-2018.csv,0.8480471115561595,0.37932780703667923,0.15613752752046278,48689,155525,840552,3809,0.23842145984114704,0.9274448550420968
02-14-2018.csv,0.8941277447965096,0.8372397837780778,0.023361882251440178,285531,15597,652029,95418,0.9482047501394756,0.7495255270390525
02-15-2018.csv,0.8480471115561595,0.37932780703667923,0.15613752752046278,48689,155525,840552,3809,0.23842145984114704,0.9274448550420968
02-14-2018.csv,0.8938921870157118,0.8370790136472793,0.024178207559322134,285829,16142,651484,95120,0.9465445357335638,0.7503077839815828
02-15-2018.csv,0.854463438476027,0.3893170704378657,0.14933785239494538,48644,148752,847325,3854,0.24642849905773168,0.9265876795306488
02-14-2018.csv,0.8942135755668407,0.8374922903148775,0.02367343392857678,285829,15805,651821,95120,0.947602060775642,0.7503077839815828
02-15-2018.csv,0.8493937009751329,0.3814500019584035,0.1547249861205509,48694,154118,841959,3804,0.24009427450052265,0.927540096765591
02-14-2018.csv,0.8938921870157118,0.8370790136472793,0.024178207559322134,285829,16142,651484,95120,0.9465445357335638,0.7503077839815828
02-15-2018.csv,0.8493937009751329,0.3814500019584035,0.1547249861205509,48694,154118,841959,3804,0.24009427450052265,0.927540096765591
02-14-2018.csv,0.8938921870157118,0.8370790136472793,0.024178207559322134,285829,16142,651484,95120,0.9465445357335638,0.7503077839815828
02-15-2018.csv,0.854463438476027,0.3893170704378657,0.14933785239494538,48644,148752,847325,3854,0.24642849905773168,0.9265876795306488
02-14-2018.csv,0.8942345564218106,0.8375192839907349,0.023640481347341175,285829,15783,651843,95120,0.9476711801917695,0.7503077839815828
02-15-2018.csv,0.854463438476027,0.3893170704378657,0.14933785239494538,48644,148752,847325,3854,0.24642849905773168,0.9265876795306488
02-14-2018.csv,0.8938921870157118,0.8370790136472793,0.024178207559322134,285829,16142,651484,95120,0.9465445357335638,0.7503077839815828
02-15-2018.csv,0.8493937009751329,0.3814500019584035,0.1547249861205509,48694,154118,841959,3804,0.24009427450052265,0.927540096765591
02-14-2018.csv,0.8938921870157118,0.8370790136472793,0.024178207559322134,285829,16142,651484,95120,0.9465445357335638,0.7503077839815828
02-15-2018.csv,0.8493937009751329,0.3814500019584035,0.1547249861205509,48694,154118,841959,3804,0.24009427450052265,0.927540096765591
02-14-2018.csv,0.8938921870157118,0.8370790136472793,0.024178207559322134,285829,16142,651484,95120,0.9465445357335638,0.7503077839815828
02-15-2018.csv,0.854463438476027,0.3893170704378657,0.14933785239494538,48644,148752,847325,3854,0.24642849905773168,0.9265876795306488
02-14-2018.csv,0.8943318312948525,0.8375025481658339,0.023041343506693866,285531,15383,652243,95418,0.9488790817309929,0.7495255270390525
02-15-2018.csv,0.8493937009751329,0.3814500019584035,0.1547249861205509,48694,154118,841959,3804,0.24009427450052265,0.927540096765591
02-14-2018.csv,0.9773397229573468,0.9691814624440821,0.024609586804588197,373618,16430,651196,7331,0.9578769792435803,0.9807559542090936
02-15-2018.csv,0.8359487876403691,0.3790250382649378,0.1726974922621444,52498,172020,824057,0,0.23382535030598883,1.0
02-14-2018.csv,0.9773397229573468,0.9691814624440821,0.024609586804588197,373618,16430,651196,7331,0.9578769792435803,0.9807559542090936
02-15-2018.csv,0.8375490546694323,0.38133494105426785,0.17101288354213579,52498,170342,825735,0,0.23558607072338897,1.0
02-14-2018.csv,0.9793252747776745,0.9721268287790911,0.02812502808458628,378047,18777,648849,2902,0.9526817934399129,0.9923821823918687
02-15-2018.csv,0.8412264263405097,0.3867512394928577,0.16714169687684788,52498,166486,829591,0,0.23973440981989552,1.0
02-14-2018.csv,0.9773397229573468,0.9691814624440821,0.024609586804588197,373618,16430,651196,7331,0.9578769792435803,0.9807559542090936
02-15-2018.csv,0.8359487876403691,0.3790250382649378,0.1726974922621444,52498,172020,824057,0,0.23382535030598883,1.0
02-16-2018.csv,0.42272417328278855,0.006724481675049023,0.01245154127832541,2049,5563,441209,599754,0.26918024172359434,0.0034047686701462105
02-20-2018.csv,0.7459914441871852,0.22320986818363342,0.23505345567352007,290086,1732945,5639612,286105,0.14339177204897008,0.5034545836363289
02-21-2018.csv,0.5019211787425792,0.3878735740631567,0.0,165469,0,360833,522273,1.0,0.2405974915011734
02-22-2018.csv,0.7844236225353456,0.0018369365550374452,0.21550390998776012,208,225894,822319,154,0.0009199387886882911,0.574585635359116
02-23-2018.csv,0.7902391340628949,0.003470523206292249,0.2096995350230771,383,219767,828242,183,0.0017397229161935045,0.676678445229682
02-28-2018.csv,0.614628187061249,0.17060816147433086,0.3522050716648291,24301,191670,352530,44603,0.11251973644609693,0.3526790897480553
03-01-2018.csv,0.5965088712721782,0.27835151777033595,0.2784651125665338,25767,66285,171752,67321,0.27991787250684397,0.2768025953936061
03-02-2018.csv,0.7288110054121069,0.5019109976073118,0.1855272408654956,143272,141443,620941,142919,0.5032119839137383,0.5006167210010098
02-14-2018.csv,0.9773397229573468,0.9691814624440821,0.024609586804588197,373618,16430,651196,7331,0.9578769792435803,0.9807559542090936
02-15-2018.csv,0.8359487876403691,0.3790250382649378,0.1726974922621444,52498,172020,824057,0,0.23382535030598883,1.0
02-16-2018.csv,0.42272417328278855,0.006724481675049023,0.01245154127832541,2049,5563,441209,599754,0.26918024172359434,0.0034047686701462105
02-20-2018.csv,0.7459914441871852,0.22320986818363342,0.23505345567352007,290086,1732945,5639612,286105,0.14339177204897008,0.5034545836363289
