batch,original_threshold,action,new_threshold,mean_mse
gaussian_batch_01_features.csv,4.8e-05,DECREASE,2.4e-05,0.0002449572577257609
gaussian_batch_02_features.csv,2.4e-05,DECREASE,1.2e-05,0.0004118065822965278
gaussian_batch_03_features.csv,1.2e-05,KEEP,1.2e-05,0.0006430462574711328
gaussian_batch_04_features.csv,1.2e-05,DECREASE,6e-06,0.0009426363722604693
gaussian_batch_05_features.csv,6e-06,DECREASE,3e-06,0.000420041923565079
gaussian_batch_06_features.csv,3e-06,KEEP,3e-06,0.0005733204057194644
gaussian_batch_07_features.csv,3e-06,INCREASE,4.5e-06,0.0007881979398322143
gaussian_batch_08_features.csv,4.5e-06,INCREASE,6.75e-06,0.0010885350865767695
gaussian_batch_09_features.csv,6.75e-06,KEEP,6.75e-06,0.0006623348057472249
gaussian_batch_10_features.csv,6.75e-06,DECREASE,3.375e-06,0.0008214511648969267
gaussian_batch_11_features.csv,3.375e-06,INCREASE,5.062499999999999e-06,0.0010460333366125799
gaussian_batch_12_features.csv,5.062499999999999e-06,KEEP,5.062499999999999e-06,0.0013261448137603538
gaussian_batch_13_features.csv,5.062499999999999e-06,INCREASE,7.593749999999999e-06,0.0009905560117945864
gaussian_batch_14_features.csv,7.593749999999999e-06,DECREASE,3.7968749999999995e-06,0.0011451561171272754
gaussian_batch_15_features.csv,3.7968749999999995e-06,KEEP,3.7968749999999995e-06,0.001346912309530138
gaussian_batch_16_features.csv,3.7968749999999995e-06,INCREASE,5.6953124999999995e-06,0.0016554092658041786
gaussian_batch_17_features.csv,5.6953124999999995e-06,DECREASE,2.8476562499999998e-06,0.001391825063957807
gaussian_batch_18_features.csv,2.8476562499999998e-06,KEEP,2.8476562499999998e-06,0.0015427326867379022
gaussian_batch_19_features.csv,2.8476562499999998e-06,INCREASE,4.2714843749999994e-06,0.0017520248518825645
gaussian_batch_20_features.csv,4.2714843749999994e-06,INCREASE,6.407226562499999e-06,0.002036960667122413
