batch,threshold,precision,recall,f1_score,total_samples,anomalies
batch_01_features.csv,0.00016559525289882606,0.5913660555884093,1.0,0.7432181345224823,20000,1000
batch_02_features.csv,0.0001,0.6142506142506142,1.0,0.76103500761035,20000,1000
batch_03_features.csv,0.0001,0.6127450980392157,1.0,0.7598784194528876,20000,1000
batch_04_features.csv,0.0001,0.6238303181534622,1.0,0.768344218209758,20000,1000
batch_05_features.csv,0.0001,0.6345177664974619,1.0,0.7763975155279503,20000,1000
batch_06_features.csv,0.0001,0.6476683937823834,1.0,0.7861635220125787,20000,1000
batch_07_features.csv,0.0001,0.5973715651135006,1.0,0.7479431563201197,20000,1000
batch_08_features.csv,0.0001,0.6480881399870383,1.0,0.7864726700747149,20000,1000
batch_09_features.csv,0.0001,0.5767012687427913,1.0,0.731528895391368,20000,1000
batch_10_features.csv,0.0001,0.5841121495327103,1.0,0.7374631268436578,20000,1000
batch_11_features.csv,0.0001,0.5494505494505495,1.0,0.7092198581560284,20000,1000
batch_12_features.csv,0.0001,0.6402048655569782,1.0,0.78064012490242,20000,1000
batch_13_features.csv,0.0001,0.6455777921239509,1.0,0.7846214201647705,20000,1000
batch_14_features.csv,0.0001,0.6720430107526881,1.0,0.8038585209003215,20000,1000
batch_15_features.csv,0.0001,0.9900990099009901,1.0,0.9950248756218906,20000,1000
batch_16_features.csv,0.0001,0.9699321047526673,1.0,0.9847365829640571,20000,1000
batch_17_features.csv,0.00015000000000000001,0.9643201542912246,1.0,0.9818360333824251,20000,1000
batch_18_features.csv,0.00022500000000000002,0.9900990099009901,1.0,0.9950248756218906,20000,1000
batch_19_features.csv,0.0003375,0.9960159362549801,1.0,0.998003992015968,20000,1000
batch_20_features.csv,0.00050625,0.9970089730807578,1.0,0.9985022466300549,20000,1000
batch_21_features.csv,0.00050625,0.9930486593843099,1.0,0.9965122072745392,20000,1000
batch_22_features.csv,0.00050625,0.9596928982725528,1.0,0.9794319294809011,20000,1000
batch_23_features.csv,0.000759375,0.9633911368015414,1.0,0.9813542688910697,20000,1000
batch_24_features.csv,0.000759375,0.9636563876651982,1.0,0.981491867638811,17501,875
